"","ARO_Term_ID","Term_Label","Parent_ID","Parent_Label","gene_class","abbreviation"
"1480","ARO:3003885","ADC-79","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1481","ARO:3005087","msrF","ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF","ABC-F"
"1482","ARO:3006312","ADC-137","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1483","ARO:3006445","ADC-88","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1484","ARO:3006922","CMA-1","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1485","ARO:3007694","AMZ-1","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1486","ARO:3008768","OXA-991","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1487","ARO:3003107","mef(B)","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump","efflux"
"1488","ARO:3005089","mef(D)","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump","efflux"
"1489","ARO:3002519","OCH-6","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1490","ARO:3002262","IND-6","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1491","ARO:3002830","vgaALC","ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF","ABC-F"
"1492","ARO:3004362","OXA-535","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1493","ARO:3002059","CMY-48","ARO:3000076","class C beta-lactamase","class C beta-lactamase","class C"
"1494","ARO:3008518","OXA-1100","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1495","ARO:3005852","OXA-631","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1496","ARO:3006226","CepA-49","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1497","ARO:3005743","OXA-513","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1498","ARO:3006915","CfiA23","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase","class B"
"1499","ARO:3006223","BKC-2","ARO:3000078","class A beta-lactamase","class A beta-lactamase","class A"
"1500","ARO:3005794","OXA-572","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1501","ARO:3001413","OXA-18","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
"1502","ARO:3002653","APH(3')-VIb","ARO:3000126","APH(3')","aph","aph"
"1503","ARO:3008770","OXA-993","ARO:3000075","class D beta-lactamase","class D beta-lactamase","class D"
