sample_id	original_name	habitat	GCfrac	basepairsHQ	basepairsRaw	insertsHQ	insertsRaw	nr_orfs	latitude	longitude	income_group	country
SAMEA1906420	SAMEA1906420	human gut	0.431578693101952	1101771717	1699498114	7272095	8413357	162724	57.70887	11.97456	High income	Sweden
SAMEA1906421	SAMEA1906421	human gut	0.4324588589088683	877217489	1920754976	6032126	9508688	112989	57.70887	11.97456	High income	Sweden
SAMEA1906422	SAMEA1906422	human gut	0.4351498219909452	1987101155	4142624080	13489196	20508040	273147	57.70887	11.97456	High income	Sweden
SAMEA1906423	SAMEA1906423	human gut	0.4280916191380182	1359599711	2333460974	9221618	11551787	143697	57.70887	11.97456	High income	Sweden
SAMEA1906424	SAMEA1906424	human gut	0.4538051215794966	883201204	2766721482	6676465	13696641	130276	57.70887	11.97456	High income	Sweden
SAMEA1906425	SAMEA1906425	human gut	0.4312632636096496	2497426396	4552459456	16614401	22536928	239877	57.70887	11.97456	High income	Sweden
SAMEA1906426	SAMEA1906426	human gut	0.4493846559218781	1818895477	4253796800	12706369	21058400	233375	57.70887	11.97456	High income	Sweden
SAMEA1906427	SAMEA1906427	human gut	0.4688157002825253	2301279364	4952644484	15195979	24518042	249013	57.70887	11.97456	High income	Sweden
SAMEA1906428	SAMEA1906428	human gut	0.4557126411352096	390059334	1061488704	3053554	5528587	51428	57.70887	11.97456	High income	Sweden
SAMEA1906429	SAMEA1906429	human gut	0.4356580103445294	1365418907	2282760388	8842240	11300794	191510	57.70887	11.97456	High income	Sweden
SAMEA1906430	SAMEA1906430	human gut	0.4422660921204061	1050564697	2088164698	7462537	10337449	146067	57.70887	11.97456	High income	Sweden
SAMEA1906431	SAMEA1906431	human gut	0.4231077919462653	1641360198	3226205832	10921313	15971316	210799	57.70887	11.97456	High income	Sweden
SAMEA1906432	SAMEA1906432	human gut	0.4380839981207891	986187839	1545961348	6555289	7653274	130027	57.70887	11.97456	High income	Sweden
SAMEA1906433	SAMEA1906433	human gut	0.4384369226770196	590493735	979554560	4036191	4849280	107068	57.70887	11.97456	High income	Sweden
SAMEA1906434	SAMEA1906434	human gut	0.4064380489092696	1669575518	2849144956	10736199	14104678	207843	57.70887	11.97456	High income	Sweden
SAMEA1906435	SAMEA1906435	human gut	0.4390493463868032	1204164037	2187599400	8377757	10829700	145766	57.70887	11.97456	High income	Sweden
SAMEA1906436	SAMEA1906436	human gut	0.4445974036627485	1705447920	3682643416	11740980	18230908	204819	57.70887	11.97456	High income	Sweden
SAMEA1906437	SAMEA1906437	human gut	0.4360939414517103	1730314821	3081799264	11400842	15256432	172161	57.70887	11.97456	High income	Sweden
SAMEA1906438	SAMEA1906438	human gut	0.4361309028915431	1192188139	1939606828	7595468	9602014	164082	57.70887	11.97456	High income	Sweden
SAMEA1906439	SAMEA1906439	human gut	0.429559194825166	441405556	996047040	3260800	5187745	66949	57.70887	11.97456	High income	Sweden
SAMEA1906440	SAMEA1906440	human gut	0.4612014968167217	1659142594	4151530058	11823667	20552129	238535	57.70887	11.97456	High income	Sweden
SAMEA1906441	SAMEA1906441	human gut	0.4512103127747214	1283078910	3060202838	9066442	15149519	168291	57.70887	11.97456	High income	Sweden
SAMEA1906442	SAMEA1906442	human gut	0.4673289169944703	2418945790	4220008866	15273220	20891133	240703	57.70887	11.97456	High income	Sweden
SAMEA1906443	SAMEA1906443	human gut	0.4590938513693799	2145057284	4562815390	14034149	22588195	307070	57.70887	11.97456	High income	Sweden
SAMEA1906444	SAMEA1906444	human gut	0.4179172151445283	2124844072	4182939644	14105775	20707622	202075	57.70887	11.97456	High income	Sweden
SAMEA1906445	SAMEA1906445	human gut	0.4353806142092784	298171613	761805504	2274144	3967737	39322	57.70887	11.97456	High income	Sweden
SAMEA1906446	SAMEA1906446	human gut	0.4492471324965784	1078677171	3170606746	8040456	15696073	138532	57.70887	11.97456	High income	Sweden
SAMEA1906447	SAMEA1906447	human gut	0.4339097472161941	1063225123	1954234860	7064204	9674430	161286	57.70887	11.97456	High income	Sweden
SAMEA1906448	SAMEA1906448	human gut	0.4414714256273328	1246636018	2482589292	8921563	12290046	126321	57.70887	11.97456	High income	Sweden
SAMEA1906449	SAMEA1906449	human gut	0.4270944457663553	1583175799	3014347020	10601066	14922510	209604	57.70887	11.97456	High income	Sweden
SAMEA1906450	SAMEA1906450	human gut	0.4347975158958607	2808301947	6206585340	19283075	30725670	275006	57.70887	11.97456	High income	Sweden
SAMEA1906451	SAMEA1906451	human gut	0.4487706767982521	2060285104	4053706508	13117456	20067854	223802	57.70887	11.97456	High income	Sweden
SAMEA1906452	SAMEA1906452	human gut	0.4305531746176999	1620236315	2756179910	10942448	13644455	143389	57.70887	11.97456	High income	Sweden
SAMEA1906453	SAMEA1906453	human gut	0.4500583169224455	303160664	797799936	2358476	4155208	36636	57.70887	11.97456	High income	Sweden
SAMEA1906455	SAMEA1906455	human gut	0.4334588619500361	2139247457	4418154706	14465459	21872053	223098	57.70887	11.97456	High income	Sweden
SAMEA1906456	SAMEA1906456	human gut	0.4359081910493685	1989010923	4349189684	13659349	21530642	172138	57.70887	11.97456	High income	Sweden
SAMEA1906457	SAMEA1906457	human gut	0.4308365570529668	1308365356	2209859194	8530642	10939897	148689	57.70887	11.97456	High income	Sweden
SAMEA1906458	SAMEA1906458	human gut	0.42459341368336495	1069447391	1996491240	7444175	9883620	161862	57.70887	11.97456	High income	Sweden
SAMEA1906459	SAMEA1906459	human gut	0.4546700251463952	1885324753	3929291476	12227519	19451938	232982	57.70887	11.97456	High income	Sweden
SAMEA1906460	SAMEA1906460	human gut	0.42452874518040495	1443798314	2503143600	9416717	12391800	207662	57.70887	11.97456	High income	Sweden
SAMEA1906462	SAMEA1906462	human gut	0.4401902451638735	1349192188	3833173412	9928793	18976106	180555	57.70887	11.97456	High income	Sweden
SAMEA1906463	SAMEA1906463	human gut	0.43401569307915777	1809383982	3307295096	12065835	16372748	220421	57.70887	11.97456	High income	Sweden
SAMEA1906464	SAMEA1906464	human gut	0.4491741092125724	758962073	1266123274	5192986	6267937	99518	57.70887	11.97456	High income	Sweden
SAMEA1906465	SAMEA1906465	human gut	0.430191439891836	1203792715	2036676514	8090745	10082557	128401	57.70887	11.97456	High income	Sweden
SAMEA1906466	SAMEA1906466	human gut	0.4680764323238316	1376471924	2995481028	9094144	14829114	194825	57.70887	11.97456	High income	Sweden
SAMEA1906468	SAMEA1906468	human gut	0.41639209358226376	1375484375	2151950642	8635315	10653221	169855	57.70887	11.97456	High income	Sweden
SAMEA1906469	SAMEA1906469	human gut	0.449147164003236	1800048592	4395895316	12794030	21761858	204854	57.70887	11.97456	High income	Sweden
SAMEA1906470	SAMEA1906470	human gut	0.4402205894143755	1404188077	3218523570	9802259	15933285	198275	57.70887	11.97456	High income	Sweden
SAMEA1906472	SAMEA1906472	human gut	0.4449096647490077	1382387378	2339488654	9047074	11581627	144867	57.70887	11.97456	High income	Sweden
SAMEA1906474	SAMEA1906474	human gut	0.4377949897135545	1576859704	2981401426	10689805	14759413	196886	57.70887	11.97456	High income	Sweden
SAMEA1906477	SAMEA1906477	human gut	0.4214008366904156	1580054194	2739388862	10313405	13561331	220052	57.70887	11.97456	High income	Sweden
SAMEA1906479	SAMEA1906479	human gut	0.4381679801391071	2488779848	5014212670	16748473	24822835	230545	57.70887	11.97456	High income	Sweden
SAMEA1906480	SAMEA1906480	human gut	0.4284759809084081	2123193563	4677011242	14530580	23153521	175639	57.70887	11.97456	High income	Sweden
SAMEA1906481	SAMEA1906481	human gut	0.4658455439674363	1800872657	3874689260	11831056	19181630	226205	57.70887	11.97456	High income	Sweden
SAMEA1906482	SAMEA1906482	human gut	0.4186309606925593	2043813513	4332127956	13830182	21446178	169902	57.70887	11.97456	High income	Sweden
SAMEA1906484	SAMEA1906484	human gut	0.4042737577907731	1502430222	2516923030	9580504	12460015	201097	57.70887	11.97456	High income	Sweden
